epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2209.52,1.25869,1.56018,1.28154,0.78988,0.7088,0.78369,0.46376,1.27958,1.33461,1.31328,0.000554459,0.000554459,0.000554459
2,4418.06,1.2233,1.15142,1.25814,0.79497,0.70602,0.79413,0.50007,1.25091,1.07853,1.29466,0.00107349,0.00107349,0.00107349
3,6616.11,1.22956,1.07793,1.26322,0.82703,0.78299,0.86196,0.54509,1.20663,0.96361,1.25388,0.00155585,0.00155585,0.00155585
4,8838.19,1.19928,1.02162,1.24722,0.84879,0.79884,0.87588,0.57398,1.14489,0.88837,1.21976,0.00150197,0.00150197,0.00150197
5,11103.6,1.15645,0.95695,1.21522,0.86889,0.80887,0.8965,0.61896,1.08534,0.80074,1.16359,0.00144696,0.00144696,0.00144696
6,13386.9,1.1194,0.89572,1.19724,0.84336,0.80511,0.88784,0.614,1.04159,0.83261,1.13827,0.00139195,0.00139195,0.00139195
7,15673.2,1.08717,0.86103,1.18622,0.86476,0.83566,0.90793,0.639,1.02688,0.73036,1.14605,0.00133693,0.00133693,0.00133693
8,17991.4,1.07706,0.8379,1.17589,0.8701,0.80875,0.89701,0.60719,1.13212,0.75563,1.18618,0.00128192,0.00128192,0.00128192
9,20123.7,1.06313,0.82108,1.16456,0.87909,0.8517,0.92151,0.67355,0.95696,0.66201,1.09162,0.00122691,0.00122691,0.00122691
10,22129.4,1.03909,0.79592,1.15157,0.89248,0.86368,0.93515,0.67831,0.9597,0.64322,1.08096,0.0011719,0.0011719,0.0011719
11,24117.8,1.03142,0.77434,1.14495,0.89053,0.8629,0.93411,0.68723,0.93176,0.62946,1.07411,0.00111689,0.00111689,0.00111689
12,26102.3,1.00985,0.75409,1.13424,0.90404,0.85715,0.93293,0.68598,0.94262,0.63192,1.08173,0.00106188,0.00106188,0.00106188
13,28083.9,0.99718,0.73822,1.13076,0.88861,0.87323,0.93582,0.69812,0.91012,0.60488,1.06918,0.00100687,0.00100687,0.00100687
14,30070.9,0.98361,0.72284,1.12405,0.90303,0.86497,0.93749,0.69454,0.91883,0.61147,1.06621,0.000951857,0.000951857,0.000951857
15,32056.9,0.97448,0.70898,1.11731,0.90768,0.87645,0.9444,0.70969,0.89238,0.5744,1.05261,0.000896846,0.000896846,0.000896846
16,34049.9,0.96397,0.69297,1.10956,0.9137,0.87883,0.9456,0.705,0.90875,0.56908,1.06824,0.000841835,0.000841835,0.000841835
17,36047.7,0.94879,0.67426,1.10252,0.9015,0.88383,0.94621,0.71682,0.87828,0.55396,1.0464,0.000786824,0.000786824,0.000786824
18,38049.2,0.94839,0.67158,1.1015,0.90533,0.88392,0.94781,0.72352,0.86507,0.5441,1.02501,0.000731813,0.000731813,0.000731813
19,39989.3,0.92754,0.65696,1.09452,0.89984,0.89639,0.94924,0.72951,0.85176,0.53624,1.02803,0.000676802,0.000676802,0.000676802
20,41904.4,0.91436,0.641,1.08599,0.91038,0.89419,0.95228,0.7376,0.83854,0.51984,1.01415,0.000621791,0.000621791,0.000621791
21,43819.7,0.85656,0.54378,1.05452,0.91221,0.90211,0.95293,0.74285,0.83352,0.50963,1.01556,0.00056678,0.00056678,0.00056678
22,45724.4,0.84126,0.53075,1.04297,0.92136,0.88925,0.95368,0.73639,0.85604,0.50595,1.02618,0.000511769,0.000511769,0.000511769
23,47632,0.82092,0.51043,1.03488,0.9205,0.89864,0.95791,0.75279,0.81725,0.48736,1.00626,0.000456758,0.000456758,0.000456758
24,49540.9,0.81393,0.50303,1.03182,0.92275,0.89992,0.95793,0.75837,0.80338,0.47791,0.99987,0.000401747,0.000401747,0.000401747
25,51444.9,0.79317,0.48448,1.01643,0.91991,0.91219,0.96101,0.76133,0.79745,0.46441,0.99233,0.000346736,0.000346736,0.000346736
26,53362.5,0.77913,0.47335,1.01201,0.92428,0.91048,0.96074,0.76768,0.79029,0.46187,0.99525,0.000291725,0.000291725,0.000291725
27,55280.6,0.77316,0.46698,1.00973,0.92937,0.9078,0.96143,0.76816,0.7884,0.45342,0.99088,0.000236714,0.000236714,0.000236714
28,57196.4,0.75578,0.45332,0.99887,0.92594,0.90935,0.96226,0.773,0.7767,0.4483,0.98421,0.000181703,0.000181703,0.000181703
29,59119.5,0.75178,0.44744,0.99672,0.91862,0.91988,0.96328,0.7746,0.77523,0.44512,0.9842,0.000126692,0.000126692,0.000126692
30,61041.2,0.73578,0.43987,0.98979,0.92609,0.91154,0.96385,0.77544,0.76972,0.44011,0.98079,7.1681e-05,7.1681e-05,7.1681e-05
